Episode,Wait Time,Service Time,Energy Usage,Total Reward,Correct Drop-Offs
183,40170.0,32255.0,1027,22524389.59999991,233
184,31740.0,14195.0,1149,14812832.399999943,229
185,30840.0,17610.0,1049,20884510.999999903,233
186,60360.0,18290.0,1004,18367373.799999915,207
187,34560.0,17475.0,1084,19319468.199999902,239
188,36450.0,12315.0,1086,15418572.599999953,231
189,51900.0,10960.0,980,19623273.19999986,220
190,67440.0,38730.0,974,21896923.999999896,199
191,52140.0,18720.0,1006,20056810.19999992,227
192,37290.0,18050.0,969,20392742.799999848,232
193,51180.0,40280.0,1088,23956513.79999988,212
194,61290.0,35565.0,887,25200995.999999925,200
195,29190.0,31840.0,1045,21346274.19999986,225
196,47520.0,30310.0,960,21370882.59999989,201
197,33960.0,33445.0,960,20065705.19999987,226
198,51720.0,22515.0,964,17595283.399999943,219
199,50220.0,34380.0,978,20958358.39999992,218
200,95070.0,38475.0,907,25329319.799999878,170
